,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,rikitea,PF,75.56,overcast clouds,-23.1203,-134.9692,Chez Bianca & Benoit
9,georgetown,MY,79.95,few clouds,5.4112,100.3354,Page 63 hostel
10,avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
12,puerto ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
23,kapaa,US,78.78,scattered clouds,22.0752,-159.319,Pono Kai Resort
30,atambua,ID,75.56,overcast clouds,-9.1061,124.8925,Hotel Matahari
32,hilo,US,79.25,clear sky,19.7297,-155.09,Dolphin Bay Hotel
33,kahului,US,79.97,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
39,atuona,PF,77.5,light rain,-9.8,-139.0333,Pearl Resort
40,ende,ID,76.93,overcast clouds,-8.8432,121.6623,LCR Hotel
55,la libertad,EC,76.66,few clouds,-2.2333,-80.9,Hotel Mar Caribe
57,lazaro cardenas,MX,82.76,few clouds,17.9583,-102.2,Hotel Sol del Pacífico
58,aden,YE,78.87,clear sky,12.7794,45.0367,فندق قصر الجزيرة
61,bubaque,GW,82.09,overcast clouds,11.2833,-15.8333,Chez Julio
62,vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti International Resort
65,fare,PF,79.14,clear sky,-16.7,-151.0167,hôtel Maitai Lapita Village
66,acapulco,MX,84.02,broken clouds,16.8634,-99.8901,Hotel del Valle
72,hithadhoo,MV,81.03,overcast clouds,-0.6,73.0833,Pebbles Inn
75,sur,OM,75.52,clear sky,22.5667,59.5289,Sur Hotel
93,itarema,BR,79.59,overcast clouds,-2.9248,-39.9167,Pousada Oásis
108,bathsheba,BB,83.01,light rain,13.2167,-59.5167,Atlantis Hotel
109,negombo,LK,77.05,few clouds,7.2083,79.8358,Choys Waterfront Residence
112,san andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Decameron Isleño
115,cayenne,GF,77.04,overcast clouds,4.9333,-52.3333,Central Hôtel
121,souillac,MU,75.58,few clouds,-20.5167,57.5167,Hotel SkylineInn
125,puerto escondido,MX,84.06,broken clouds,15.85,-97.0667,Hotel Barlovento
134,port-gentil,GA,75.16,few clouds,-0.7193,8.7815,Tara-Mé
136,cabo san lucas,MX,83.61,clear sky,22.8909,-109.9124,Comfort Rooms
143,kavieng,PG,83.55,broken clouds,-2.5744,150.7967,Kavieng Hotel
145,isangel,VU,78.03,broken clouds,-19.55,169.2667,Tanna Lodge
163,camopi,GF,81.59,light rain,3.1655,-52.3158,Chez Lucia
166,axim,GH,78.6,scattered clouds,4.8699,-2.2405,Axim Beach Hotel
