,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,hobart,AU,-42.8794,147.3294,61.27,56,40,12.66,scattered clouds
1,dikson,RU,73.5069,80.5464,11.43,98,96,7.92,overcast clouds
2,pevek,RU,69.7008,170.3133,-24.47,98,45,4.56,scattered clouds
3,longyearbyen,SJ,78.2186,15.6401,15.64,79,20,5.75,few clouds
4,mar del plata,AR,-38.0023,-57.5575,67.82,96,100,10.36,fog
5,punta arenas,CL,-53.15,-70.9167,53.71,50,40,24.16,scattered clouds
6,albany,US,42.6001,-73.9662,47.73,57,5,4.85,clear sky
7,carnarvon,AU,-24.8667,113.6333,67.17,75,0,20.18,clear sky
8,rikitea,PF,-23.1203,-134.9692,75.56,71,100,6.35,overcast clouds
9,georgetown,MY,5.4112,100.3354,79.95,94,20,2.3,few clouds
10,avarua,CK,-21.2078,-159.775,78.85,65,75,18.41,broken clouds
11,qaanaaq,GL,77.484,-69.3632,0.63,96,100,4.74,overcast clouds
12,puerto ayora,EC,-0.7393,-90.3518,76.96,89,97,5.01,overcast clouds
13,tiksi,RU,71.6872,128.8694,-20.04,96,100,8.79,overcast clouds
14,marsaxlokk,MT,35.8419,14.5431,60.08,94,40,6.91,scattered clouds
15,mataura,NZ,-46.1927,168.8643,54.48,47,61,2.71,broken clouds
16,ponta do sol,PT,32.6667,-17.1,66.83,75,43,2.06,scattered clouds
17,santo antonio do ica,BR,-3.1022,-67.9397,78.03,92,99,1.72,heavy intensity rain
18,faya,SA,18.3851,42.4509,57.72,60,97,3.69,overcast clouds
19,tanabe,JP,33.7333,135.3667,54.57,80,1,10.98,clear sky
20,ardakan,IR,32.31,54.0175,57.85,39,0,2.91,clear sky
21,ikalamavony,MG,-21.15,46.5833,68.31,73,29,4.9,scattered clouds
22,iqaluit,CA,63.7506,-68.5145,10.13,66,100,12.66,overcast clouds
23,kapaa,US,22.0752,-159.319,78.78,64,40,16.11,scattered clouds
24,portland,US,45.5234,-122.6762,49.42,88,75,1.99,broken clouds
25,el alto,PE,-4.2714,-81.2147,73.06,74,42,16.49,scattered clouds
26,sitka,US,57.0531,-135.33,35.49,87,100,0.0,light snow
27,bama,NG,11.5221,13.6856,68.77,27,3,5.99,clear sky
